Observation Season;IAU code;Latin name;French name;English name;Constellation area in square degrees;Dec;RA;Principal star;Constellation area in %;Constellation zone (celestial equator);Constellation zone (ecliptic);Constellation zone (Milky Way);Quad;Name origin;Image
Spring / Printemps;CVn;Canes Venatici;Les Chiens de chasse;Hound Dogs;465.194;+39° 44,11';12:46,64;Cor Caroli;1,13 %;North constellation;North ecliptic constellation;;North Hemisphere Quadrant 3;Hevelius;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/4092eb20acb56c731250089be02f3c66
Winter / Hiver;Leo;Leo;Lion;Lion;946.964;+19° 17,32';10:34,63;Regulus;2,30 %;Equatorial constellation;Zodiacal constellation # 6;;North Hemisphere Quadrant 2;Ptolémée;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/770dc69ec073ab80d1ab2ddd93efcbef
Summer / Été;Lyr;Lyra;Lyre;Lyre;286.476;+36° 53,36';18:48,43;Vega;0,69 %;North constellation;North ecliptic constellation;;North Hemisphere Quadrant 4;Ptolémée;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/5f8eb12a82186b186afc94347325a992
Autumn / Automne;Scl;Sculptor;Sculpteur;Sculptor's Studio;474.764;-31° 33,30';23:49,97;α Sculptoris;1,15 %;South constellation;South ecliptic constellation;Milky Way South pole;South Hemisphere Quadrant 1;Lacaille;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/4c64cfa83ed0f209473fe033976f42fc
Southern hemisphere constellation / Constellation de l'hémisphère sud;Mic;Microscopium;Microscope;Microscope;209.513;-38° 32,49';21:04,28;γ Microscopii;0,51 %;South constellation;South ecliptic constellation;;South Hemisphere Quadrant 4;Lacaille;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/a6d18d606bdc9a513915aaa560f3aef7
Summer / Été;PsA;Piscis Austrinus;Poisson austral;Southern Fish;245.375;-31° 38,53';22:27,88;Fomalhaut;0,59 %;South constellation;South ecliptic constellation;;South Hemisphere Quadrant 4;Ptolémée;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/2e3cb59b5fb8e419b316b17eb67935da
Summer / Été;Aql;Aquila;L’Aigle;Eagle;652.473;+03° 42,65';19:29,96;Altair;1,58 %;Equatorial constellation;North ecliptic constellation;Milky Way Equator;North Hemisphere Quadrant 4;Ptolémée;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/59a4165986ab5227b935c875cacc4897
Summer / Été;Cep;Cepheus;Céphée;Cepheus;587.787;+64° 47,51';21:56,00;Alderamin;1,42 %;North constellation;North ecliptic constellation;Milky Way Equator;North Hemisphere Quadrant 4;Ptolémée;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/07d7fbf4fd343ccd8d2c6e20d4a5769f
Southern hemisphere constellation / Constellation de l'hémisphère sud;Ara;Ara;L’Autel;Altar;237.057;-54° 30,30';17:25,16;β Arae;0,57 %;South constellation;South ecliptic constellation;;South Hemisphere Quadrant 3;Ptolémée;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/068a1cb3e20ce1bfd93c997c697d1521
Autumn / Automne;Cam;Camelopardalis;Girafe;Giraffe;756.828;+67° 43,89';05:03,96;β Camelopardalis;1,83 %;North constellation;North ecliptic constellation;;North Hemisphere Quadrant 2;Plancius;https://data.smartidf.services/api/explore/v2.1/catalog/datasets/88-constellations/files/fecf7fd32de7ff37d1fab60e2e709431
